app_autoregflow_preparenode_featureextractionnode_.empno,app_autoregflow_preparenode_featureextractionnode_.ename_extracted,app_autoregflow_preparenode_featureextractionnode_.ename,app_autoregflow_preparenode_featureextractionnode_.hiredate,app_autoregflow_preparenode_featureextractionnode_.job_extracted,app_autoregflow_preparenode_featureextractionnode_.job,app_autoregflow_preparenode_featureextractionnode_.location_1_extracted,app_autoregflow_preparenode_featureextractionnode_.location_1
100,"[0.1532244086265564,0.060634154826402664,0.07748285681009293]",AMAN,1987-05-23,"[0.11598825454711914,0.10368897765874863,-0.06978098303079605]",PRESIDENT,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",DALLAS
101,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",GIRISH,1981-02-20,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",ANALYST,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",CHICAGO
102,"[-0.05383288860321045,0.14697717130184174,-0.002313454868271947]",AMOL,1981-05-01,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",MANAGER,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",CHICAGO
103,"[-0.15044653415679932,-0.049222350120544434,0.032919567078351974]",SUYOG,1981-06-09,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",ANALYST,"[-0.0053822994232177734,0.10117471590638161,-0.08685215562582016]",NEW YORK
104,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",AAVESH,1981-12-03,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",ANALYST,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",DALLAS
105,"[-0.12674053013324738,0.09846510738134384,-0.10375533252954483]",SANTOSH,1981-12-03,"[-0.12674053013324738,0.09846510738134384,-0.10375533252954483]",CLERK,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",CHICAGO
106,"[0.11598825454711914,0.10368897765874863,-0.06978098303079605]",SANGEETA,1981-04-02,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",MANAGER,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",DALLAS
107,"[0.14931941032409668,-0.11237160116434097,-0.040140967816114426]",NISHA,1981-11-17,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",MANAGER,"[-0.0053822994232177734,0.10117471590638161,-0.08685215562582016]",NEW YORK
108,"[0.16549132764339447,0.06478814035654068,0.09235310554504395]",MARTIN,1981-09-28,"[-0.05383288860321045,0.14697717130184174,-0.002313454868271947]",SALESMAN,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",CHICAGO
109,"[0.12229827791452408,-0.03133072331547737,-0.14264558255672455]",MILLER,1982-01-23,"[-0.12674053013324738,0.09846510738134384,-0.10375533252954483]",CLERK,"[-0.0053822994232177734,0.10117471590638161,-0.08685215562582016]",NEW YORK
110,"[0.03635207936167717,0.05818831920623779,-0.022041618824005127]",SCOTT,1987-04-19,"[-0.019123395904898643,-0.13107778131961823,0.14307855069637299]",ANALYST,"[-0.1633371263742447,-0.14517612755298615,0.11354436725378036]",DALLAS
